Party,Base year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Last Inventory Year (2016),Change from base year to latest reported year
Russian Federation,"3,893,152.78","3,893,152.78","3,712,717.93","3,049,307.07","2,781,127.59","2,406,973.11","2,302,990.80","2,162,670.72","1,942,308.02","1,909,685.40","1,888,655.26","1,847,582.27","1,816,855.83","1,793,033.05","1,866,624.17","1,934,841.09","1,975,946.70","2,049,187.17","2,030,413.54","2,007,903.26","1,833,541.57","1,943,665.74","1,986,435.33","2,059,368.53","2,004,014.21","1,968,025.57","2,026,828.96","2,009,362.46",-48.39%
Slovakia,"64,434.34","64,434.34","54,134.82","48,023.85","44,718.76","42,501.82","44,201.68","44,661.10","44,505.42","42,096.35","41,555.02","39,617.33","42,882.55","40,395.53","41,134.33","41,849.92","45,225.52","42,209.20","40,727.67","42,291.12","38,169.57","39,920.63","38,622.97","35,476.48","34,415.18","34,215.01","34,168.09","34,176.03",-46.96%
Slovenia,"15,958.23","14,501.38","13,875.46","13,930.10","14,071.27","14,260.32","14,866.48","15,065.08","15,398.48","14,991.54","14,287.76","14,395.20","14,213.21","14,227.04","14,165.27","14,367.32","14,660.96","14,884.61","14,652.81","16,205.29","14,295.77","14,373.85","14,418.35","13,844.27","13,640.40","11,775.39","11,910.06","12,758.08",-20.05%
Spain,"248,306.85","248,306.85","257,405.07","269,331.13","259,925.02","276,185.03","290,943.27","281,510.58","294,918.96","304,158.06","328,480.65","342,601.50","339,858.78","358,631.64","367,832.63","383,584.92","397,698.70","387,799.66","403,157.27","370,116.58","331,130.61","315,432.16","316,539.01","312,764.35","283,355.74","282,783.85","293,802.39","283,961.88",14.36%
Sweden,"35,589.40","35,589.40","36,475.96","35,913.40","41,252.55","39,601.41","41,046.39","37,309.74","35,058.98","33,487.66","33,033.80","30,665.63","25,843.11","29,029.07","32,822.04","34,649.95","33,758.76","29,475.80","25,540.02","23,373.75","18,021.22","19,770.58","22,887.58","13,916.08","17,142.86","13,572.41","8,889.76","9,923.41",-72.12%
Switzerland,"52,465.80","52,465.80","50,846.25","50,998.71","48,008.34","48,800.81","48,113.09","47,471.22","47,938.70","50,985.13","50,803.15","56,953.95","52,916.78","49,606.47","51,121.05","51,029.09","52,065.51","54,723.23","52,159.66","52,784.67","50,522.70","52,591.55","48,764.76","49,772.75","51,008.44","47,051.15","46,406.15","46,328.46",-11.70%
Turkey,"181,792.04","181,792.04","188,173.72","201,743.59","203,473.68","195,988.23","213,287.87","231,818.08","242,732.78","241,155.14","239,541.32","258,754.41","235,312.66","244,856.75","258,626.78","270,421.97","290,001.36","311,275.71","346,546.85","347,420.76","351,860.80","356,607.05","383,314.54","396,328.31","381,823.64","393,656.59","406,261.50","427,989.15",135.43%
Ukraine,"889,282.77","889,282.77","798,324.48","741,993.13","659,480.10","547,814.03","508,486.63","466,934.91","453,921.06","422,617.59","390,571.92","375,124.77","402,895.22","390,529.83","391,070.30","401,442.94","407,567.27","420,903.69","421,631.86","423,411.99","360,039.24","370,178.30","400,834.28","384,363.06","387,377.84","341,952.19","296,941.91","320,641.57",-63.94%
United Kingdom of Great Britain and Northern Ireland,"797,787.47","797,787.47","806,654.86","784,474.27","764,268.49","755,144.77","747,976.13","769,361.91","742,842.05","740,878.36","710,186.79","708,923.60","710,875.88","690,477.32","697,094.66","692,924.74","685,275.64","677,596.57","664,587.93","644,443.25","587,879.12","601,076.82","553,033.37","571,879.61","556,365.27","514,750.32","496,185.92","471,726.07",-40.87%
United States of America,"5,536,014.23","5,536,014.23","5,470,902.73","5,598,601.42","5,727,001.93","5,790,630.13","5,909,731.77","6,091,467.21","6,168,199.38","6,247,735.03","6,295,834.26","6,463,882.37","6,378,919.44","6,433,873.43","6,466,818.18","6,615,052.15","6,589,143.32","6,510,701.32","6,653,023.22","6,460,544.90","6,006,741.92","6,206,013.80","6,022,170.73","5,775,307.96","5,973,343.67","6,022,765.07","5,942,941.27","5,794,521.57",4.67%
