Date,Open,High,Low,Close,Adj Close,Volume,
11/12/2018,109.860001,113.169998,109.629997,113.169998,113.169998,1172574,
12/12/2018,113.18,114.57,112.68,114,114,738241,
13/12/2018,114.160004,114.18,112.150002,113.18,113.18,956113,
16/12/2018,112.199997,113.580002,111.669998,113.260002,113.260002,593819,
17/12/2018,111.360001,111.910004,110.400002,110.629997,110.629997,1027491,
18/12/2018,110.510002,111.5,109.32,109.910004,109.910004,862598,
19/12/2018,108.82,109.870003,107.129997,107.290001,107.290001,1589106,
20/12/2018,106.699997,107.57,103.489998,104.82,104.82,2953491,
23/12/2018,103.839996,105.93,103.300003,105.440002,105.440002,515822,
26/12/2018,107,108.089996,105.610001,106.040001,106.040001,759837,
27/12/2018,106,108.589996,106,108.589996,108.589996,774497,
30/12/2018,109.150002,109.629997,108.239998,108.650002,108.650002,505822,
